                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.8992,                 2.2092,                 1.0373,                0.93377,                0.80108,                0.66418,                0.74567,                0.29567,                0.63716,                0.54603,                0.58188,                0.19143,                 2.0265,                 2.5415,                 1.1683,                 1.0026,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.896,                 2.1473,                 1.0008,                0.92643,                0.77584,                0.66667,                0.73029,                0.27813,                0.64727,                0.56468,                0.57004,                0.19887,                 2.0075,                  2.416,                 1.2056,                0.98567,               0.001307,               0.001307,               0.001307
                     38,                 1.8607,                 2.1207,                0.99979,                0.93303,                0.72601,                0.69403,                0.72533,                0.28575,                 0.6536,                0.59204,                0.59316,                0.19343,                 1.9647,                 2.4121,                 1.1718,                0.98335,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.8998,                 2.2085,                 1.0036,                0.92791,                0.77964,                 0.6592,                0.73812,                0.28042,                0.65642,                0.55224,                0.57481,                0.18306,                 2.0526,                 2.4159,                 1.2634,                0.99515,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9259,                 2.1912,                 1.0269,                0.93732,                0.77864,                0.73881,                0.78475,                0.32013,                0.68274,                0.64925,                0.65142,                0.21868,                 1.9392,                 2.3706,                 1.0832,                0.98061,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.8847,                  2.185,                 0.9912,                0.92323,                0.76828,                0.66808,                0.72246,                0.26049,                0.64228,                0.50916,                0.53706,                0.16446,                 2.0655,                 2.4699,                 1.1744,                0.99348,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.8481,                 2.1794,                0.96607,                0.92149,                0.78405,                0.69403,                0.75918,                0.28328,                0.55824,                0.50995,                0.45817,                0.13429,                 2.0715,                 2.5872,                 1.2326,                0.99622,               0.001208,               0.001208,               0.001208
                     43,                 1.8919,                 2.1497,                0.97613,                0.92485,                0.79188,                0.61524,                0.73062,                0.27411,                0.60618,                 0.4602,                0.50976,                0.14339,                 2.0578,                 2.5788,                 1.3611,                0.98577,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.8122,                 2.1332,                0.95266,                0.91244,                0.75321,                0.70398,                0.76753,                0.30615,                 0.7099,                0.52488,                0.56452,                0.18107,                 1.9686,                 2.3713,                 1.1488,                0.98457,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.842,                 2.1575,                0.95797,                0.92392,                0.74731,                0.71642,                0.75859,                0.29775,                0.57893,                0.57214,                0.55593,                 0.1664,                 1.9925,                  2.404,                  1.177,                0.98553,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.8318,                 2.1136,                0.92832,                0.92998,                0.76015,                0.71891,                0.76892,                0.29029,                0.58824,                0.55721,                0.55431,                 0.1752,                 2.0143,                 2.4308,                 1.1222,                0.98023,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.8369,                 2.1494,                0.94967,                0.92165,                0.69857,                0.73881,                0.75541,                0.29304,                0.54777,                0.58209,                0.55216,                0.17636,                 2.0254,                 2.4889,                 1.2173,                0.99223,               0.001109,               0.001109,               0.001109
                     48,                 1.8296,                 2.1519,                0.92802,                0.91525,                0.80605,                0.72139,                0.79824,                 0.2884,                 0.5646,                0.56468,                  0.528,                0.14794,                 2.0516,                 2.5651,                 1.1541,                0.99401,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8364,                 2.1037,                 0.9218,                0.91864,                0.79114,                0.72552,                0.78232,                 0.3172,                0.66351,                0.62935,                0.63951,                0.21622,                 1.9956,                 2.3406,                 1.1251,                0.98772,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.8395,                   2.15,                 0.9537,                0.92126,                0.70111,                0.71642,                 0.7307,                0.29243,                0.59551,                0.55473,                0.56251,                0.18599,                 2.0162,                 2.4438,                 1.2034,                0.98691,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.8285,                 2.1345,                0.96365,                0.92727,                0.79638,                0.72388,                0.78081,                0.31675,                0.70824,                0.63682,                0.67317,                0.21441,                 1.9813,                 2.3979,                 1.1078,                0.98251,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.8144,                 2.1428,                0.91607,                0.92234,                0.80249,                0.72637,                0.78223,                0.32603,                0.68398,                0.62455,                0.64913,                0.21133,                 1.9522,                 2.3802,                 1.1117,                 0.9765,                0.00101,                0.00101,                0.00101
                     53,                 1.8148,                 2.1383,                0.93075,                0.90668,                0.80654,                0.66372,                0.75308,                0.29809,                0.63782,                0.52488,                0.55542,                  0.167,                 2.0134,                 2.5107,                 1.2003,                0.98479,              0.0009902,              0.0009902,              0.0009902
