                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.37309,                0.40691,                0.05326,                0.89014,                0.95948,                0.94194,                0.47231,                 0.4301,                0.52365,                0.08263,              0.0007724,              0.0007724,              0.0007724
                     65,                0.36592,                0.41199,                0.05468,                0.90709,                0.93421,                0.94344,                0.46694,                0.44747,                0.54768,                0.08597,              0.0007526,              0.0007526,              0.0007526
                     66,                0.37249,                0.41706,                0.05261,                0.90023,                0.96053,                0.94336,                0.42425,                0.46621,                0.53545,                0.09368,              0.0007328,              0.0007328,              0.0007328
                     67,                0.36976,                0.41029,                0.05295,                0.90792,                0.97304,                0.94558,                0.47484,                0.43713,                0.50941,                0.08449,               0.000713,               0.000713,               0.000713
                     68,                0.35541,                 0.3986,                 0.0535,                0.90247,                0.95395,                0.94792,                0.48514,                0.43964,                0.51594,                0.08446,              0.0006932,              0.0006932,              0.0006932
                     69,                0.34819,                0.39601,                0.05019,                0.88776,                0.96053,                0.92357,                0.46253,                0.44199,                0.51996,                 0.0879,              0.0006734,              0.0006734,              0.0006734
                     70,                0.35801,                0.40005,                0.05149,                0.89079,                0.96593,                0.92523,                 0.4503,                0.45286,                0.52727,                0.08968,              0.0006536,              0.0006536,              0.0006536
                     71,                0.36372,                0.41207,                0.05325,                 0.8763,                0.94737,                0.90533,                0.44348,                0.45615,                 0.5138,                0.09183,              0.0006338,              0.0006338,              0.0006338
                     72,                0.34293,                0.39778,                0.05196,                0.90526,                0.96053,                0.93526,                0.44639,                0.44892,                0.51927,                0.09041,               0.000614,               0.000614,               0.000614
                     73,                0.35503,                0.39462,                0.05144,                0.90665,                0.95851,                0.94486,                0.44702,                0.47332,                0.51318,                 0.0931,              0.0005942,              0.0005942,              0.0005942
                     74,                0.34505,                0.39884,                0.05063,                 0.8964,                0.96768,                0.93504,                0.44436,                0.45658,                0.52873,                0.09023,              0.0005744,              0.0005744,              0.0005744
                     75,                0.35221,                0.39861,                0.04991,                0.90554,                0.96711,                0.94483,                0.49278,                0.43469,                0.53157,                0.08305,              0.0005546,              0.0005546,              0.0005546
                     76,                0.34195,                0.39094,                0.04833,                0.89576,                0.96107,                0.92988,                0.48956,                0.42386,                0.53124,                0.08057,              0.0005348,              0.0005348,              0.0005348
                     77,                0.34515,                0.39939,                0.04922,                0.90123,                0.95395,                0.94003,                0.47281,                0.43868,                0.53339,                0.08379,               0.000515,               0.000515,               0.000515
                     78,                0.34959,                0.40158,                0.05087,                0.89192,                0.93421,                0.92381,                 0.4606,                0.46264,                0.51943,                0.09067,              0.0004952,              0.0004952,              0.0004952
                     79,                0.34765,                0.39645,                0.05011,                0.90059,                0.96053,                0.93149,                0.48064,                0.43895,                0.52432,                 0.0842,              0.0004754,              0.0004754,              0.0004754
                     80,                0.33772,                0.38458,                0.04987,                0.91772,                0.95397,                0.93958,                0.46615,                0.44509,                 0.5107,                0.08583,              0.0004556,              0.0004556,              0.0004556
                     81,                0.33015,                0.39111,                 0.0472,                0.91594,                0.94079,                0.92616,                0.47135,                0.43822,                0.50608,                0.08308,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.3359,                0.39923,                0.04837,                0.89884,                0.93535,                0.90206,                0.43915,                 0.4519,                0.55688,                0.08984,               0.000416,               0.000416,               0.000416
                     83,                0.32728,                0.38963,                0.04703,                0.89466,                0.95395,                0.91475,                0.44312,                0.46192,                0.52494,                0.09018,              0.0003962,              0.0003962,              0.0003962
                     84,                0.34466,                0.39216,                0.04935,                0.88865,                0.94505,                0.91804,                0.44346,                0.46585,                0.53899,                0.09074,              0.0003764,              0.0003764,              0.0003764
                     85,                0.33087,                0.38949,                0.04836,                0.91119,                0.94499,                 0.9147,                0.45286,                0.43504,                0.50125,                0.08468,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.3298,                0.38688,                0.04895,                0.89313,                0.96053,                0.91558,                0.45782,                0.43904,                0.58752,                0.08382,              0.0003368,              0.0003368,              0.0003368
                     87,                0.32831,                0.38741,                0.04697,                0.88801,                0.94737,                0.91968,                0.47456,                0.43315,                0.53868,                0.08237,               0.000317,               0.000317,               0.000317
                     88,                0.32497,                0.38506,                0.04502,                0.91207,                0.93421,                0.92985,                0.46862,                0.44444,                0.50334,                0.08403,              0.0002972,              0.0002972,              0.0002972
                     89,                0.32302,                0.38967,                 0.0458,                0.90137,                0.96204,                0.92168,                0.44684,                0.44879,                0.52998,                0.08745,              0.0002774,              0.0002774,              0.0002774
                     90,                0.32097,                0.38404,                 0.0454,                0.88158,                0.95395,                0.91231,                 0.4594,                0.44856,                0.52585,                0.08771,              0.0002576,              0.0002576,              0.0002576
                     91,                0.30671,                0.37005,                0.05203,                0.89786,                0.94737,                0.91853,                0.45834,                  0.456,                 0.5164,                0.08971,              0.0002378,              0.0002378,              0.0002378
                     92,                0.29676,                0.35659,                0.05124,                0.90161,                0.96462,                0.92548,                0.46927,                0.44681,                0.54232,                0.08611,               0.000218,               0.000218,               0.000218
                     93,                 0.2935,                0.35695,                0.05063,                0.90638,                0.96711,                0.93141,                0.46907,                0.44713,                0.53364,                0.08619,              0.0001982,              0.0001982,              0.0001982
                     94,                0.28593,                 0.3545,                0.04962,                0.89488,                0.96711,                0.92666,                0.47608,                0.43195,                0.51619,                0.08304,              0.0001784,              0.0001784,              0.0001784
                     95,                0.28733,                0.35368,                0.04669,                0.90661,                0.95797,                0.93012,                0.47903,                0.43833,                0.52389,                0.08591,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.2843,                0.35221,                0.04876,                0.90119,                0.96711,                0.92425,                0.49747,                0.42721,                0.52519,                0.08197,              0.0001388,              0.0001388,              0.0001388
                     97,                0.28478,                0.35097,                0.04796,                0.90035,                0.96711,                0.92347,                0.47397,                0.43821,                0.52939,                 0.0855,               0.000119,               0.000119,               0.000119
                     98,                0.28009,                  0.348,                0.04883,                 0.9011,                0.95908,                0.92325,                0.48008,                 0.4372,                0.51613,                0.08386,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.27675,                0.34368,                0.04714,                 0.9072,                0.96468,                0.92605,                0.48038,                0.43563,                0.51088,                0.08326,               7.94e-05,               7.94e-05,               7.94e-05
