                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1522,                0.45808,                 1.1142,                0.91912,                0.97368,                0.94774,                 0.4816,                 1.7284,                0.61406,                 1.5051,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1798,                0.47514,                 1.1301,                0.92201,                0.95395,                0.93636,                 0.4311,                 1.8449,                0.64032,                 1.5838,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1492,                0.46207,                  1.127,                0.90242,                0.94079,                0.89802,                0.41842,                 1.9062,                0.64832,                 1.6313,               0.000812,               0.000812,               0.000812
                     63,                 1.1505,                0.46531,                 1.1118,                0.90626,                0.96053,                 0.9288,                0.43683,                 1.8334,                0.65985,                 1.5854,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1579,                0.45487,                  1.113,                0.92275,                0.96711,                 0.9345,                0.46743,                 1.7474,                0.62047,                 1.5321,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1333,                 0.4553,                 1.1102,                0.90626,                0.95401,                0.92643,                0.45344,                 1.7392,                  0.619,                 1.5337,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1079,                0.44313,                 1.0978,                0.90922,                0.95395,                0.91623,                0.43208,                 1.8162,                0.63368,                 1.5992,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1421,                0.45479,                 1.1128,                0.89185,                0.94079,                0.91291,                 0.4217,                 1.8864,                0.66971,                 1.6486,               0.000713,               0.000713,               0.000713
                     68,                 1.1376,                0.45183,                 1.1058,                0.91885,                0.96842,                0.93521,                0.44975,                 1.8489,                0.63576,                 1.5889,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1181,                0.45598,                  1.099,                0.90503,                0.95395,                0.91147,                0.44979,                 1.8233,                0.64155,                 1.5879,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1064,                0.44434,                 1.0922,                0.89739,                0.94079,                0.89952,                0.42377,                 1.8474,                 0.6505,                  1.623,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0917,                0.43779,                 1.0853,                0.89146,                0.93421,                 0.8927,                0.43012,                 1.8799,                0.63958,                 1.6337,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0956,                0.43651,                 1.0909,                0.89538,                0.94079,                0.89836,                0.42353,                 1.8799,                 0.6432,                 1.6586,               0.000614,               0.000614,               0.000614
                     73,                 1.1017,                0.43501,                 1.0956,                0.88881,                0.96053,                0.92448,                0.42199,                 1.8952,                0.63673,                 1.6485,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0957,                0.43113,                 1.0935,                0.86421,                0.92105,                0.86702,                0.38757,                 1.9738,                0.68617,                 1.7261,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0726,                0.43015,                 1.0697,                0.90116,                0.95977,                0.93283,                0.43681,                 1.8707,                 0.6386,                 1.6318,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0717,                0.42674,                 1.0773,                0.89429,                0.96053,                0.91234,                0.42438,                 1.8963,                0.66528,                 1.6647,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0459,                0.42037,                 1.0669,                0.90137,                0.97368,                 0.9228,                0.46028,                 1.7973,                0.61131,                 1.5566,               0.000515,               0.000515,               0.000515
                     78,                  1.059,                0.43148,                 1.0705,                 0.8958,                0.96711,                0.93325,                0.46835,                 1.7658,                0.61686,                 1.5581,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0381,                0.42097,                 1.0516,                0.90243,                0.97354,                0.92797,                0.46572,                 1.7839,                0.61492,                 1.5765,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0452,                0.42432,                 1.0746,                0.89525,                0.96053,                0.93145,                0.44359,                 1.8955,                0.66431,                 1.6734,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0249,                0.41256,                 1.0536,                0.89632,                 0.9669,                 0.9224,                0.45094,                 1.8039,                0.64378,                 1.5886,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0341,                0.41344,                 1.0608,                0.89883,                0.94737,                0.91267,                0.41954,                 1.9029,                0.64822,                 1.6805,               0.000416,               0.000416,               0.000416
                     83,                 1.0035,                0.40958,                 1.0489,                 0.9023,                0.97368,                0.92275,                0.47395,                 1.7572,                0.60022,                 1.5362,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0153,                0.40832,                 1.0615,                0.88367,                0.96053,                0.92036,                0.45619,                 1.8107,                0.61976,                 1.5936,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0025,                0.40644,                 1.0539,                0.91319,                0.94737,                0.91145,                0.46293,                 1.7708,                0.61855,                 1.5488,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.9845,                0.39949,                 1.0449,                0.89009,                0.95903,                0.90628,                0.44773,                 1.8358,                0.63665,                 1.6146,              0.0003368,              0.0003368,              0.0003368
                     87,                0.98515,                0.40047,                 1.0412,                0.89608,                0.96711,                0.92558,                0.45182,                 1.8154,                 0.6341,                 1.6096,               0.000317,               0.000317,               0.000317
